sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10
5,0,1.9155569015191656e+27,-3.7944230283048663e+25,1.9875220814761982e+23,-1.672316500625785e+20,-3.875397197142949e+17,-254971545875098.78,174791068229.10443,817872616.0304825,1622680.368951768,2570.3476793584023,3.6647665528751276
5,1,3.6842299899202555e+28,-3.640621912337259e+26,8.575311377069371e+23,3.622786313684927e+20,-5.402709367276962e+17,-1058566799956787.5,-927154796250.1925,-104115829.82822843,1372959.3091458706,3441.2657010963844,6.0327226259170885
5,2,7.220901448638269e+27,-8.109981231975834e+25,2.5520412510087543e+23,-7.2348811896058e+19,-4.14099676182042e+17,-370707768537321.56,65255167457.6948,779134467.6426624,1670102.1297013056,2681.581101304636,3.7943402708222034
5,3,2.84379114484564e+28,-2.066480669782694e+26,3.0886337965803764e+23,2.6476979360168208e+20,-1.9225899806673075e+17,-603239054794927.9,-636543667714.5204,-99206021.73380217,1122491.8479170487,3109.321734401408,5.936232579608811
5,4,7.535009759483008e+28,-4.8918542708336285e+26,3.159772702892339e+23,7.313630662218195e+20,3.2415943067487795e+17,-536015654233959.6,-1192360824177.7026,-1041726441.1656582,330914.3703138024,3152.987604558635,7.515055375300788
5,5,7.784586763330135e+27,-1.2730320263742988e+26,6.0400331494826544e+23,-6.018241949544441e+20,-1.0004375949716357e+18,-633425935728213.5,119816960764.91855,1053574248.0439726,2088134.1909055985,3197.607523635472,4.375212604219563
5,6,5.8025463078193865e+26,-3.3812261939336043e+25,4.568648258097513e+23,-1.0351421276493738e+21,-4.9480140599297837e+17,482407042957038.25,1263436928629.871,1775031566.6517866,2083269.260556972,2261.028026546726,2.3607279674449804
5,7,2.877466420473798e+27,-1.3735598348316893e+26,7.028168497053693e+23,-3.0530916823722636e+20,-9.255287330227384e+17,-778339063783644.0,-70312076928.20238,943162691.607338,2077409.9991576828,3220.739540776402,4.31375377363975
5,8,1.475860165763624e+27,-2.1550605442388984e+25,6.025421958392035e+22,3.195669691276577e+19,-1.0156036952959989e+17,-218249893336499.9,-173612798353.93457,178844396.50842983,1002273.5501893617,2500.3477213568503,4.9445686386460395
5,9,2.9651208589276136e+26,-1.2955975047168288e+25,7.314059970233697e+22,-4.335050306539268e+19,-1.7015017143509555e+17,-171730318375767.88,23100776343.300747,465138815.9243251,1213246.320229969,2351.284690146029,4.000899140745265
5,10,1.385413112382256e+28,-3.024501682919522e+26,8.285794289090577e+23,6.185550611225777e+19,-8.589927770070504e+17,-995572465769874.4,-356884111606.85223,752378509.4591414,2047877.99803783,3341.916004674437,4.533513306312995
5,11,1.2312271509173487e+28,-1.0232484027031915e+26,1.846704383117642e+23,1.4117785656855537e+20,-1.9067004286321142e+17,-467870833713907.6,-410465414414.80566,138009193.85722128,1248503.6203107608,2952.2777896633975,5.272997704426347
5,12,3.965510950182268e+28,-3.5125662191889446e+26,8.181502209326147e+23,3.6272351884718936e+19,-9.013903949094273e+17,-938391760348740.8,-188730629800.88885,943313592.0842295,2145467.8296670234,3249.8063852516666,4.191519746504016
5,13,1.7701363076654412e+26,-1.7816271273382648e+24,2.0450160668498233e+21,8.038583449977359e+18,5978664266212002.0,-20521238336464.562,-81599433927.362,-127699402.10461351,118255.25505973637,1619.6639002744485,7.184097059567046
5,14,4.3163720259898975e+26,-6.198515579215342e+24,2.5260578874900422e+22,-9.815522747183655e+18,-7.115345500774293e+16,-78375840447029.77,38112923233.76811,346913308.53709173,937567.3445455987,1946.3701253803779,3.589725327893451
5,15,1.0345623655099907e+28,-1.9822828130270954e+26,2.276867103155084e+23,3.1546000354248065e+20,6.099398723568731e+16,-358156373308798.1,-673981603986.947,-544740372.8855872,443268.3152125858,2779.696887992682,7.036895548248453
5,16,1.217484281592264e+28,-1.4303713899173395e+26,4.552805207492041e+23,-7.360894572400552e+19,-6.219660855506459e+17,-661138048118473.8,-176899974478.62793,694774574.2566298,1820511.3095326088,3105.991688145042,4.493629376028633
5,17,3.1968630834083822e+28,-2.4477689975548424e+26,4.507722161948536e+23,2.2335688945949865e+20,-4.117356224782113e+17,-778348981839160.6,-582603657103.0265,210347006.19356295,1526094.6506794933,3264.6090205556006,5.33563972654012
5,18,5.189770231697214e+28,-2.0241731790893318e+26,2.4654397153082192e+22,2.7427030510338998e+20,2.6949014203207475e+17,-47832647915699.47,-519863012706.9723,-758585906.1476047,-121878.23988178352,2320.641430888194,7.83465946001846
5,19,3.382098467942629e+28,-3.0191618092200942e+26,4.852561672730245e+23,3.580291077143814e+20,-3.264043483373333e+17,-832453017906964.5,-750182951086.7766,24953178.763006393,1429469.8888975799,3334.242114981122,5.602153802614191
5,20,3.260751602633536e+25,-1.3075794706045836e+24,1.6213712255835313e+22,-5.9198232975395774e+19,-2.763515052478878e+16,92944213952117.12,278379114624.17914,534692395.55899704,892059.4998571898,1402.6288377184553,2.1456267573262373
5,21,3.656850598483225e+26,-8.376876742446932e+24,4.972590761770342e+22,-1.166868549132348e+19,-1.1570757097295363e+17,-168831354942911.16,-78956292050.34993,264197012.65580514,1010940.1021130419,2376.1903820829843,4.671614658041759
5,22,3.1089034720542354e+27,-2.18723344931406e+25,2.532842496827515e+22,5.606106547205788e+19,5181420654737266.0,-128918914001460.33,-261649508928.90298,-187484243.06787127,472803.26930173126,2352.4061695816,6.460223652606316
5,23,1.9207026632431356e+28,-2.4796374975985842e+26,7.313537630725377e+23,-1.806341963215466e+20,-8.797171021914052e+17,-671320732982888.0,138618962893.19388,1158224173.290261,2147316.4656356573,3003.440743572098,3.7056577009106255
5,24,1.5796432786939313e+28,-2.22944148706926e+26,7.643230040345878e+23,-2.7937336580608295e+20,-9.834535342283855e+17,-878374260438922.0,-182471673112.68338,849741169.4510614,2051875.2684871554,3330.3928238426456,4.634528808236458
5,25,1.8538719148227413e+26,-6.471237192576293e+24,6.415256800024959e+22,-1.2721376841958369e+20,-1.3726124114936462e+17,40779362807073.195,344189400827.322,742291447.5925337,1235981.3104959852,1848.532306127015,2.621006232502008
5,26,1.5408793887462949e+28,-3.2404384956644086e+26,8.257300475059653e+23,3.448871963990682e+20,-5.009738980765363e+17,-1016406169534227.1,-924796323697.4905,-142844070.37646008,1322992.2969428787,3423.180176936876,6.087900916635515
5,27,4.28977781875885e+28,-2.602472179616828e+26,3.201936625663389e+23,3.614991936480551e+20,-1.550203298048294e+17,-681146329974946.4,-751382953598.8944,-134910131.32713655,1213621.358310555,3238.894289831772,5.848303523253651
5,28,6.731397239144283e+26,-3.4528114145421712e+25,2.8706779463102632e+23,-4.70467421795867e+20,-4.07622228382216e+17,123118066388074.75,743567422861.1552,1306817615.7953603,1786843.498701348,2200.4965609222827,2.573659284366906
5,29,2.356471292883385e+26,-4.6580331658501e+24,1.938433839954138e+22,-5.495570189001757e+17,-5.481537811322049e+16,-88509699534306.83,-27274866013.906906,230412552.21771017,837106.8410375012,2034.7592679812574,4.215157272828817
5,30,2.3983148049512902e+27,-9.556055602275205e+25,5.0586728823345455e+23,-2.6229907400509227e+20,-7.39309520630549e+17,-596522730275660.6,20784634452.346447,918297391.9851856,1954053.103862574,3042.438911439103,4.138235657349078
5,31,2.695300370338187e+28,-2.3920537310680196e+26,5.6525874753809006e+23,2.891538830321842e+19,-6.839444610006708e+17,-787041640754623.9,-233891454621.69614,749950062.2299844,1938597.2441484684,3182.8098598096963,4.404178705628627
5,32,8.438054114772199e+26,-1.801210011134108e+25,1.0379329227495979e+23,-1.3696507220075944e+20,-2.0693701207226125e+17,-20856581118429.766,340776978689.5018,812636877.0536863,1371769.9940648396,2026.8842520002622,2.807132964679769
5,33,5.504305824812075e+27,-7.305839334667035e+25,1.7432577254249656e+23,9.607651744951597e+19,-2.0548304027312794e+17,-432421199779724.94,-349680932591.1931,181947263.64041838,1242500.4264139917,2890.3347878354184,5.185993491099311
5,34,2.6342949461868613e+27,-7.6603168413272435e+25,1.651079287197113e+23,1.3011602757009952e+20,-1.2050216360344971e+17,-389845651191777.2,-454666582016.11237,-89102107.5721332,936050.8823276729,2861.7128338773687,5.951658618817912
5,35,1.5044223285453745e+28,-1.44791728517624e+26,3.447571388212556e+23,6.467783379036812e+19,-4.338229092046743e+17,-615057796758271.1,-304279927608.6063,472023261.44139594,1624859.521226587,3069.676080081357,4.747674816279733
5,36,1.6364663777971321e+28,-1.8831046658324235e+26,6.37395620430593e+23,-3.6929188826512654e+20,-8.491623251410883e+17,-426020093237862.75,431227389868.17926,1342912828.6665592,2142936.3000762314,2794.487403882676,3.3142860168855703
5,37,3.2501514756501697e+25,-5.137195172716011e+23,1.5891795428783353e+21,2.5718329454859965e+18,-4809998670682329.0,-24396030598773.746,-41672918574.565186,14753034.599589225,370542.1627592123,1640.5617810639985,5.377774026190991
5,38,6.5709056752931365e+28,-3.8915100535072236e+26,2.4400883015933713e+23,5.680539537153505e+20,2.2444693972405898e+17,-479455638353621.56,-978704292753.0531,-751041501.432565,552605.2992827432,3104.6146614464433,6.948159402044512
5,39,1.6866038377184358e+28,-1.6679113643711293e+26,3.943400696443265e+23,7.969114261128992e+19,-4.852381261345809e+17,-651181880940803.9,-263886675396.54877,578814900.585933,1727506.4680172978,3060.2950562632386,4.498523506967109
5,40,9.329905136980037e+28,-3.104114842591133e+26,3.6963235943851353e+22,4.435989746348829e+20,3.182617173072201e+17,-283973064181935.25,-837935542007.6912,-743767046.8162208,446415.887859551,2981.495870565169,6.946319065044119
5,41,2.5255308709328405e+27,-7.77699538157861e+25,5.8707138241107236e+23,-8.841746905557609e+20,-1.0013028622100511e+18,-293545359276958.9,634947518983.1774,1520664606.533633,2282644.270792755,2911.3183863769063,3.4205828201703716
5,42,6.406726592611658e+27,-6.198605476370616e+25,1.6642296217943245e+23,-2.1640474488380485e+18,-2.743002655449994e+17,-306458818814504.94,-1168428864.551934,612581714.186555,1478461.5091429595,2556.639137693042,3.8367917946153
5,43,1.633676080878844e+28,-1.3662052048345145e+26,2.4272262871060378e+23,1.7686488178887397e+20,-2.2298774801584064e+17,-546314888748173.5,-491124816466.84296,97277836.14589378,1276383.3399250517,3056.3404303002717,5.433440576929086
5,44,2.4069846033987196e+28,-2.064685048463828e+26,4.430394163343838e+23,1.5878515345142563e+20,-4.8090324881174246e+17,-758181499177254.8,-433752806483.001,432022982.66449785,1689762.0803810766,3200.46997484756,4.86318540016345
5,45,1.2090568247049717e+24,-6.990897639191809e+22,8.425757942629735e+20,-2.1805483289142108e+18,-5544842743732899.0,-480095302795.12805,31841748254.010788,135129227.62120214,412361.9868502276,1105.721914066951,2.7828960899711443
5,46,8.98244463997927e+28,-4.693365774675782e+26,4.018142565867368e+23,6.275816158569149e+20,-8385491777128347.0,-794101004665430.6,-1040887507425.3109,-411122718.4675191,1118354.6087733982,3393.5860941396004,6.198750284220375
5,47,1.2218604254513472e+27,-2.976910347267537e+25,2.1642703118973225e+23,-3.610157551683564e+20,-4.5493886526967334e+17,-113753726978270.58,439092555540.51984,1081154675.0497549,1766873.9550792736,2486.450766083993,3.2446406895005926
5,48,3.3428660091147566e+28,-2.2724943552901514e+26,2.4427947924881175e+23,3.403857001165295e+20,-1.0414639342300646e+16,-491523464542915.7,-729585763018.0481,-393988942.10191333,785125.3340133767,3023.531669442411,6.495636015339742
5,49,2.540838752821193e+27,-4.784879209449438e+25,1.3991038078979222e+23,5.204710222031739e+19,-1.7239283191115683e+17,-346317821471310.4,-311627824063.79297,87196781.45569354,1033313.0896826852,2763.8016288739714,5.595885872293168
5,50,-1.9327431375678556e+28,7.064897103430154e+25,4.446025209996357e+22,-5.802178220672877e+19,-1.8257979167208323e+17,-258610194228883.44,-184614953869.13217,183645518.9440679,1044223.9519159278,2660.885084643984,5.37744747135831
5,51,1.0916103987919315e+29,-3.0657500514443578e+26,-5.969720543072184e+22,3.602731841260063e+20,4.51798173495615e+17,55962097278670.375,-605291717374.4152,-1001710933.1714486,-358668.87916311907,2312.3928190121815,8.212649463403144
5,52,1.9629574654500668e+28,-2.2772402732038194e+26,7.329303952078265e+23,-2.3248732382589128e+20,-9.421759664907626e+17,-749417891247186.6,57706170858.68872,1105879492.1657035,2163406.379200911,3125.066542485608,3.95897930948722
5,53,7.642738161811587e+26,-2.1885062621713458e+26,6.734631483473744e+23,1.248108454414608e+20,-6.280014885041398e+17,-926626747821945.9,-587014378766.2684,336075284.8265284,1704168.6100324392,3372.2842350536052,5.218990422027137
5,54,4.0981669730577914e+27,-6.44274925941185e+25,1.4091594707766519e+23,1.1260866842334464e+20,-1.0259110790432549e+17,-345714037500213.2,-427617530558.12286,-127312486.50264457,825604.0894497007,2774.1454667699054,6.161701653579045
