sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8
5,0,-1801119.118170008,1164178.2088457206,-37700.34085890286,-56720.00399392238,-6940.037472173771,1285.0280127774283,645.4736310287444,85.04603361947653,-28.233019498373903
5,1,1132157668.6204696,-517791127.2084808,-14217525.247089136,16783431.467065763,3187440.7447835165,-62181.778316196935,-149429.6896128372,-26782.103492984035,5984.558419708114
5,2,-16716532.524932707,10316721.90899581,-484983.88335830416,-378619.117802726,-38688.27645891789,6635.588792339627,2964.436582705667,353.282142122928,-111.67902072354576
5,3,2844218.9069270547,-1543926.1877548578,-29455.951664301007,66456.22168260913,12430.259970872545,-635.0645545688209,-753.1683438754332,-123.53458541008791,37.99629742084234
5,4,604342.4847754563,-388180.7131768277,8223.771376975848,17171.06687933782,2461.584350196209,-257.19166801525756,-159.41233284746787,-16.984384002460345,9.69719729694946
5,5,-139207117.57396895,82738581.3403367,-1892192.7600977966,-3724864.003517742,-418110.51831602753,80113.95503963942,33981.08549031309,3537.915585421038,-1418.3744436971567
5,6,-606740.1164065296,372393.6356775709,-13369.16905017599,-16196.87829026425,-1983.7758188960588,354.28537273562125,189.724328239423,29.406874971294382,-6.098592636722806
5,7,11805486.424409771,-6523711.059342011,130819.68767868969,225962.4902511516,29846.21815035737,-2666.73987798611,-1754.9049523426436,-244.62562712050917,69.40885589489405
5,8,-48467942.88405648,24648082.854906097,133608.01222442382,-860785.5477826875,-137322.82808180765,7648.515889358326,7260.06046623227,1114.9011390681262,-273.5313010258271
5,9,-2303971.2118582227,1392618.9777863366,-60085.938861286355,-53473.321481397936,-5468.203508375551,1052.8816375739991,460.59326074241045,56.930152480325084,-15.837592859974267
5,10,-15080908.695443721,7230734.306996933,179276.18525993847,-239404.95661760526,-45720.37794439862,831.1656545546446,2163.011537621482,395.17088146990193,-83.34667654159766
5,11,47900889.54112648,-23789065.375115708,-1180703.7011480946,959940.9939777317,240768.0560182534,2402.7708208469458,-13324.781682110348,-3145.342164583072,721.2234018666153
5,12,-712347099.9994675,265375582.7192226,28791236.763531793,-7192444.507746797,-2820266.330695957,-250022.6410142123,105049.43332293781,37046.68081899561,-6229.117946913231
5,13,-3152219.3411883363,1197750.119447344,73371.09429842746,-29487.70557201628,-7232.197478990532,-274.1786261597444,235.65427990851813,58.420805227468605,-5.61857258637916
5,14,1742417568.01137,-730185773.0138263,-58450775.25142867,23204582.39456286,7292366.590698053,423976.2562090593,-315106.1216669832,-93538.44176482114,17556.501729009804
