sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8
5,0,-2.949567345835971e+17,5905510750953279.0,-5781999808376.016,-244219542634.99255,-1161855247.6933858,2282609.7937762574,77742.53081735219,636.0031295266904,1.8664925950658187
5,1,-78189512510463.55,-1736591746307.8982,229411357106.73053,-1730307101.9073982,-53733877.97386349,-230072.85566812445,8008.045639395001,232.58932175481584,4.0822578414271655
5,2,294889483661200.2,-182695592530598.56,27687489531279.406,-430126407985.03595,-2110785601.527589,-3080231.8085594876,45683.377760901036,647.4921979468105,5.984547837993741
5,3,1.9364076934921868e+16,-1755822010252142.2,41040005297266.82,-243812882252.47565,-1150379239.457439,2617920.489324734,60540.74341803524,493.58068598859126,3.1346207651272264
5,4,3127285928440779.5,-462621664032945.4,19539068664249.25,-164008731653.1169,-716100605.1834419,2217180.025757817,49524.99240881574,444.52179419783835,3.1590969368544117
5,5,2.4298691531044355e+17,-5180432665822616.0,1672101973686.3335,329015295231.8964,1571219654.3579652,-9766988.13217145,-167627.62964663975,-501.2561649186757,15.255504647524628
5,6,2.573431751784309e+16,-1819563750451640.2,41777787193299.19,-276454985948.1981,-1107162409.5331023,3651151.9805496703,64723.92768582175,493.75444505191166,3.0116647842030453
5,7,8.599787213717437e+16,-3086358438462602.0,27746826047783.78,55281185513.001816,-804054842.1159463,-5666770.420075073,3829.554882853738,414.6961188960156,5.145934216445277
5,8,114452759810533.2,-62270362812522.39,9310416155362.04,-226103483250.765,21754875.594582327,6794432.3889097385,59999.32543395643,397.1597880460527,2.3648922250287323
5,9,1753905297024256.8,-539120770340146.94,10789788228554.312,23718145653.397537,-432128627.2941292,-3940992.395686819,-2044.2767100818496,338.33209513320963,5.422721561120613
5,10,4.767705212687599e+16,-1950547407417766.0,16751314570832.201,50665153785.27944,-508369124.73365575,-4546978.246775365,-259.1831059468849,365.30600991890736,5.270088149115544
5,11,1774410902245856.8,-219804983577709.47,7117925924968.974,-40464126149.31323,-438980074.4305196,-437898.5129420387,25814.4042446942,381.1976639530073,3.8384328962932743
5,12,-1.087870659869015e+17,2308591955887358.0,-50305059419.12985,-99826783556.24263,-643440222.9200658,-277766.0194220961,34267.78546102687,439.78475553736695,3.8391061442904237
5,13,1.7766642010704262e+16,-1142280657196329.5,21425564995284.0,-69814334151.84367,-919466045.128668,-2076058.7535661177,28989.990157667562,451.92366700212625,4.246406497078205
5,14,3511932102767122.0,-312381026545216.75,8017303853896.937,-38907940935.66221,-470219776.1248157,-565267.2059144158,26268.08211957672,387.1227386027562,3.8359551134995478
5,15,4.6940254542411784e+16,-2740787006877358.5,39095492087169.6,-30232180898.938957,-1211936362.2495637,-4746763.761001978,19452.422775840554,464.8426786727878,4.72305476214996
5,16,1.1186060912432165e+17,-3848999326763477.5,37608397259417.38,16412701592.258974,-1214730058.6302896,-4898384.6983925225,23269.472959600644,483.82361529397235,4.472393099312869
5,17,6.839365798680019e+17,-1.4952326186375654e+16,53626250674683.586,468875632454.17554,-28926274.952754013,-14621887.488037392,-79115.06776848338,201.5419448457823,8.081671934090217
5,18,7261997874461022.0,-839821886972876.5,29774075463011.84,-280188241014.00354,-1228995115.006339,1040032.3695035506,51783.72891520599,506.69319664864315,3.785440035729109
5,19,7855071514244477.0,-326422432097430.7,3182270545507.541,15181956808.280338,-158109391.24634928,-2034139.077303699,-1226.161920968349,270.5678943976015,5.3354824416217115
5,20,1.1368633816269012e+16,-426610898680174.3,3608136804632.7974,21636356366.196392,-153182632.37487134,-2392799.0384563003,-3780.6134473520183,273.97812643013685,5.467661500588345
5,21,99340268277726.48,-39474849815490.95,2627489022199.8804,-52907062843.48539,53300793.97007829,3399090.7144301925,35557.10536396768,285.62175143097994,2.1014038174008274
5,22,5926563137840950.0,-273572771590326.28,2335345230845.678,21261438198.24755,-79064338.42874806,-2273098.2958194055,-10393.73740391133,217.82961067177087,6.110639196222584
5,23,2206154376364333.0,-179501697208256.1,4212349450675.509,-17010886074.649847,-286676110.42397666,-774669.6462599811,16779.43951352861,336.4852076753752,4.185287274082871
5,24,4938746367146487.0,-519917685141477.7,17612613078251.38,-185394466598.55026,-322711698.680645,5238649.377241101,57550.67652536121,406.7456480129904,2.4845288774883554
5,25,3.16637369829389e+16,-1982643721117215.5,27443955732519.145,-18320560579.91673,-1012442188.6630535,-3641796.3420405854,23487.960988631206,458.49279955411686,4.416583260774603
5,26,2.178323128829163e+16,-1575507500658559.8,33649606909315.16,-158915414034.26666,-1242247015.3397877,-639869.9078108245,45215.435520005594,496.2748790174538,3.786415540694417
5,27,490831549305430.06,-176858223525997.56,13304113466470.379,-268878902314.89725,-603498407.7856294,4200661.212663331,58473.31936408889,467.04367342126096,3.1276173475289846
5,28,3.4505419238390504e+16,-2001333604491398.5,31471093006089.742,-27523838736.4,-1039184423.8364941,-4318650.999931024,16777.479210173897,443.31131122799786,4.78623627925212
5,29,598727507055042.9,-149478975722441.84,9375256651343.895,-157908273677.06406,-507222681.6173823,2518537.274725049,46572.039485125795,430.4647759240635,3.2597959021574914
5,30,-189493048431312.8,13154576109057.652,-122024092154.97324,-4394372888.233895,-21857882.60815483,971933.2062119541,28426.030660876415,316.032469344771,-4.962852134093905
5,31,1.1567751860498712e+17,-4206419465435322.5,40946620960579.71,33389814360.478657,-1206135899.5640452,-6004767.244776995,14967.795611144857,471.7834742649701,4.8149582241340285
5,32,5.84652806534267e+16,-2566239326189162.0,23266573025404.39,60779577611.144585,-708027261.7786477,-5528475.580958864,2520.7918765082845,407.2196557733232,5.160276771468533
5,33,1.1389281279293492e+16,-833667883633201.4,9437982056030.768,24894783119.605114,-377385004.7332604,-3325496.7052311474,2354.7005116489504,346.0762409015057,5.129683405588354
5,34,84883802304115.94,-10287725937392.98,342804714346.3829,-868379545.1168082,-57335984.57195053,-531876.8971611595,3139.5697033470137,215.0462314452665,5.194826650382783
5,35,4.771987754474375e+16,-1959411010210576.5,20913944051991.66,28420405670.708424,-716896579.5600914,-4611148.1766966395,7327.693496228044,407.58804357236386,5.009557768764828
5,36,1.0561912070553024e+16,-1855912874660829.0,33231242573022.637,-9738001171.277475,-990963869.1425511,-5092544.110651069,8638.082247496159,419.41643599090264,5.097474508311565
5,37,1.4936547668769468e+16,-804948300325124.1,12370986614030.041,-13967421846.136496,-607260451.0168993,-2268774.7220716393,19933.40906660119,406.9050215016809,4.336236594866919
5,38,6084295539204603.0,-933448962257076.6,35180815879834.24,-186228845980.2948,-1295872655.1002102,-671413.3756791801,45417.80260711384,500.5810465082637,3.8315558300912107
5,39,5.066129909689849e+16,-3288995559336844.0,41789866679456.06,-12939615856.568668,-1204505650.1398814,-5078423.161709214,17339.845104289347,460.4738686508702,4.771629502786
5,40,1207320897508453.5,-180718942346131.88,6662930771384.36,-24488783305.071255,-421219259.7718051,-1545999.3956811442,15779.353957809526,364.234932182161,4.517976236910422
5,41,3.190997249027187e+16,-1444329631684035.2,16277848017614.428,17832748119.040756,-623516074.9283279,-3801657.899387802,9366.257759617429,396.21424096245727,4.883127672034302
5,42,5.4554928623426936e+16,-2540718636084086.5,30557450126638.94,-1755964613.52709,-1075751002.144069,-4376217.932435468,21287.43554618153,465.09973706452087,4.531009825680952
5,43,1.5412782935077198e+16,-884158189066322.6,13235815663453.086,-7638818887.621835,-599272887.2354227,-2852547.1721731303,14255.171984357352,395.48857822646164,4.676678085326514
5,44,6.964837156343845e+17,-1.3562994066936052e+16,28483138286509.277,445370654706.0245,962479303.0360485,-9491890.071405206,-88137.7620163304,-4.3704924980260005,8.35374771948244
5,45,5824949605627858.0,-294049367815112.1,3049335758935.071,17417878302.027134,-167032859.8528565,-2296684.388414068,-1476.7696646107343,288.75054584274096,5.329100603887228
5,46,584329934918566.4,-153751543187830.72,11415289552503.893,-182924824514.4353,-129879634.05778304,5593993.334198222,55615.15361187093,389.8154040063642,2.4167833578961244
5,47,3.060925429666225e+16,-1113019457290862.0,10093754249036.398,33019586386.374367,-423458223.8239361,-3611721.7214824236,3902.9805363936493,363.73934896301427,5.031252006036339
5,48,5168959180425297.0,-441408411893285.25,6825199320123.375,5222757988.309696,-341078018.22620314,-2400633.570663429,5860.285183630721,332.0304176617807,4.9895234251461185
5,49,1.7655916296432934e+17,-4778630333729075.0,30505099752326.97,112132497659.85101,-744261360.036203,-6765883.032019243,-2821.2955303862304,408.62990603022257,5.3301886675998835
5,50,1.4225292616585952e+16,-1064987756210506.2,27108819412857.43,-227063232563.02396,-523010282.07059765,5527872.425924831,63205.180164507205,434.95026731840255,2.546174858533863
5,51,2.1455913937914364e+16,-678049572268091.5,4578408927570.678,31143020686.8153,-162728283.15062287,-2707508.9855213263,-4584.408664482413,280.80820022086556,5.470774979922304
5,52,8.1590371857638e+16,-2773322640028385.5,24490451483395.957,49693952527.92777,-805082757.6637764,-5242627.392471331,8188.322479855837,426.3344367739132,4.947741201911206
5,53,6.356960099683147e+16,-3005830269394383.5,32565415812875.297,28659465751.834694,-1044266658.5716697,-5396505.717198819,14020.574491351947,454.80993747625695,4.799286100300558
5,54,1484601843957058.5,-100460697855877.72,1985466510437.8289,-2786568268.2239842,-178146233.8200125,-868167.4821798501,11310.628561550442,300.95971196673304,4.277237849379918
5,55,8.196567984616862e+16,-3067173169640333.5,30252374232531.895,31647726541.903873,-1019068643.56034,-5101260.580291899,16091.353378761576,458.0041624586286,4.700914329942586
5,56,-1.1131839631594872e+17,3679528601542573.0,-14489537842616.271,-183003678226.40918,-555398370.8925022,3657041.9679794875,63776.69791202159,505.45167852818076,2.2936244439632762
5,57,3479084567408727.5,-600483405074400.8,25597578345217.695,-248840150968.4787,-1177881930.9078677,320767.8596739363,46489.94012868359,497.96323974399417,3.9862811103021385
5,58,567594411323839.9,-79177208039447.1,3140217128757.0137,-23495205405.800537,-252254373.4616971,-93456.84304224579,21122.64422832928,333.71078307694904,3.7242156989004185
5,59,4527331799904183.0,-583361342735242.2,17888129196429.69,-149289200960.50424,-546519879.4894311,3149359.6000088356,51163.515071384994,421.6774121563967,2.845099064651688
5,60,1540196145502514.2,-175886621228301.56,3499454915947.416,-1691296747.9478538,-231975255.67465323,-1518935.7015618333,7031.506011610897,303.72373958223324,4.851940437165101
5,61,1.2586163081993722e+16,-969704588881519.0,12514438496242.102,16353914038.778067,-487589649.1114858,-3477442.2705216925,4571.435107194388,359.9247575358601,5.11419957894056
5,62,1389910312928775.5,-421203305196122.2,22848890190682.664,-328624765577.51965,-762576975.7129883,4977069.9075556435,65253.564598581535,484.4782929338338,3.0125030090251546
5,63,3.95129755501995e+16,-2168477303978362.0,35403965835394.82,-109141949293.04353,-1212771828.6463327,-1192180.765596559,42677.33229844402,489.1734250574731,3.7430669287822727
5,64,1.3585620996411278e+17,-4180072385883294.0,33781920228438.94,66065692662.45548,-1019818101.268666,-5999117.678708435,11557.791361395339,456.8442414558981,4.843746526429931
5,65,3.220657309487459e+16,-1916474730548074.2,35448587330259.83,-145496203165.7057,-1243241884.7286227,-514282.24191716476,46575.52564386384,495.65341829956907,3.6792037073394326
5,66,1.3263374741736974e+16,-1074338865090495.9,15251649728976.266,8127663854.216502,-619622888.4551429,-3645491.8731585923,9624.973620008397,394.1689948684345,4.901831385895141
5,67,26074658238261.613,-5030626518406.097,291758694073.96533,-4200303975.997793,-51536016.520583086,90004.16773305913,10946.993897223772,228.5888210854499,3.5668830037859234
5,68,3527958061938608.5,-236805178241901.94,4670364934074.043,-11110221099.567335,-322546462.51657045,-1128248.7372340164,16714.53372641302,349.2907502648469,4.182760631867411
5,69,-1.3801445022264466e+17,3251280425765195.5,-3591694293854.558,-124499242677.83089,-684922120.9976008,-373660.694113287,32536.73753412994,438.7439013105066,4.136435361442499
5,70,-2.562023119191828e+16,893110255607482.1,-2037446275557.1052,-66023140616.19307,-384201422.3576169,1191434.664738891,46570.17254066177,489.60993755977466,1.8164274244495082
5,71,3.5298155031357532e+16,-2382986029944992.0,47756289423416.4,-242407335251.5216,-1315707457.134293,2004875.0781202014,60615.778132660234,505.9063436313457,3.216469660608631
