NonceMin,NonceMax,SampleSize,AvgHitRate,FitType
0.0,5.0,20,0.006825892090392,2.0
0.0,2.0,5,0.0059229653593603,2.0
0.0,2.0,10,0.0073457143401527,2.0
0.0,2.0,20,0.0051730833529056,2.0
0.0,3.0,5,0.0056051127715227,2.0
0.0,3.0,10,0.0079464450906229,2.0
0.0,3.0,20,0.0044604795081887,2.0
0.0,1.0,5,0.0075086383644611,2.0
0.0,1.0,10,0.0073377210651636,2.0
0.0,1.0,20,0.0056014746807888,2.0
0.0,1000.0,5,0.0101132771524138,2.0
0.0,1000.0,10,0.0080552894838386,2.0
0.0,1000.0,20,0.0082202980057996,2.0
0.0,10.0,5,0.006290718122504,2.0
0.0,10.0,10,0.0083082331716147,2.0
0.0,10.0,20,0.0096284405961266,2.0
0.0,200.0,5,0.0078707902389512,2.4
0.0,200.0,10,0.0050152073516813,2.4
0.0,200.0,20,0.0044598737347739,2.4
0.0,20.0,5,0.0069906167043618,2.4
0.0,20.0,10,0.0066551786678546,2.4
0.0,20.0,20,0.0046396200820638,2.4
0.0,2000.0,5,0.0087878985991008,2.4
0.0,2000.0,10,0.0058884243201962,2.4
0.0,2000.0,20,0.0043606396399797,2.4
0.0,100.0,5,0.0069643335601488,2.4
0.0,100.0,10,0.0057015925883336,2.4
0.0,100.0,20,0.0045122317821854,2.4
0.0,50.0,5,0.0072021846922371,2.4
0.0,50.0,10,0.0059124762597182,2.4
0.0,50.0,20,0.0045792156863973,2.4
0.0,500.0,5,0.0086441691403291,2.4
0.0,500.0,10,0.0065785069818402,2.4
0.0,500.0,20,0.0035499828718637,2.4
0.0,4.0,5,0.0057319079882157,2.4
0.0,4.0,10,0.0068324787649927,2.4
0.0,4.0,20,0.0047453652466714,2.4
0.0,5.0,5,0.0056078362259384,2.4
0.0,5.0,10,0.0071239365465178,2.4
0.0,5.0,20,0.0037567499344229,2.4
0.0,2.0,5,0.0073874839204811,2.4
0.0,2.0,10,0.0072153427938655,2.4
0.0,2.0,20,0.0030351135510572,2.4
0.0,3.0,5,0.0064145021536826,2.4
0.0,3.0,10,0.0077282979139026,2.4
0.0,3.0,20,0.003705466571131,2.4
0.0,1.0,5,0.0076423186789751,2.4
0.0,1.0,10,0.0072012458096994,2.4
0.0,1.0,20,0.0023535957217815,2.4
0.0,1000.0,5,0.0088838858458039,2.4
0.0,1000.0,10,0.0053844952396986,2.4
0.0,1000.0,20,0.0047480009579297,2.4
0.0,10.0,5,0.0051052086985655,2.4
0.0,10.0,10,0.0085435829557506,2.4
0.0,10.0,20,0.0046163198844079,2.4
0.0,200.0,5,0.0133922355313245,2.4675
0.0,200.0,10,0.0136029356939476,2.4675
0.0,200.0,20,0.0177405782870208,2.4675
0.0,20.0,5,0.0160508345664224,2.4675
0.0,20.0,10,0.0141033662747078,2.4675
0.0,20.0,20,0.0189222216217696,2.4675
0.0,2000.0,5,0.0114449413963387,2.4675
0.0,2000.0,10,0.015335287346537,2.4675
0.0,2000.0,20,0.0201482187085118,2.4675
0.0,100.0,5,0.013378368632104,2.4675
0.0,100.0,10,0.0127846880318092,2.4675
0.0,100.0,20,0.021706747283949,2.4675
0.0,50.0,5,0.0111186192684024,2.4675
0.0,50.0,10,0.0132303885497676,2.4675
0.0,50.0,20,0.0158269245614274,2.4675
0.0,500.0,5,0.0118880531041421,2.4675
0.0,500.0,10,0.0134088233794916,2.4675
0.0,500.0,20,0.0181545123136858,2.4675
0.0,4.0,5,0.0138473646547343,2.4675
0.0,4.0,10,0.0150003335440671,2.4675
0.0,4.0,20,0.0211482307359845,2.4675
0.0,5.0,5,0.0137567094641949,2.4675
0.0,5.0,10,0.0140336951521781,2.4675
0.0,5.0,20,0.018452560517672,2.4675
0.0,2.0,5,0.0128143852771117,2.4675
0.0,2.0,10,0.0153629777853805,2.4675
0.0,2.0,20,0.021685435414531,2.4675
0.0,3.0,5,0.0151010253118009,2.4675
0.0,3.0,10,0.0152372326181828,2.4675
0.0,3.0,20,0.0199979077267498,2.4675
0.0,1.0,5,0.0140752420319711,2.4675
0.0,1.0,10,0.0150802587743133,2.4675
0.0,1.0,20,0.0265456410596037,2.4675
0.0,1000.0,5,0.0116403711171847,2.4675
0.0,1000.0,10,0.0137726895122025,2.4675
0.0,1000.0,20,0.0181504413986675,2.4675
0.0,10.0,5,0.0145277874270773,2.4675
0.0,10.0,10,0.0145335741069884,2.4675
0.0,10.0,20,0.0169307345249899,2.4675
