sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10
5,0,15365825.489070218,-9454617.160394665,181187.89202791572,404947.64833960595,60261.96661751815,-2953.9863447211205,-3123.606294556313,-713.6060772526484,-60.84742287038092,21.14745513360652,13.171784522834166
5,1,36094501.089283235,-17055945.993890554,-811050.1110622354,496713.0607808619,121986.5387982757,9307.348455534519,-2257.85399705416,-949.4430177374483,-155.87565765351312,7.434750788178049,15.30875510840433
5,2,142950610.0859919,-80430982.65040953,596386.9413383227,2820498.2111525326,471299.4388312801,5036.011592091756,-16003.44166649075,-4598.394830176067,-669.4029521194578,17.231427587516716,49.90179929610038
5,3,108137169.94750741,-46657019.50277501,-3584246.7622012575,1256884.423744499,393524.85330335615,43210.41317835012,-4719.633592680317,-3088.2274502576647,-654.2005069246292,-27.111284890659928,39.35324805674572
5,4,-50561536.30946673,8909752.455406936,2536358.925587645,227313.82392864753,-33724.87531359945,-17685.37987556824,-3948.9789010844993,-518.9425745968273,5.369849981408405,29.99036804795922,12.483022830982742
5,5,113263.2111610334,-350109.0333387048,88661.60209211848,29733.5703095375,142.79495421968946,-1683.8862754871477,-473.738172784907,-35.8561847094704,25.5499470304936,15.720900234059803,5.952237080145062
5,6,-219539287.78079003,86897471.76327667,9084464.415709754,-2066885.778967927,-826226.8558030161,-118599.39664619403,4299.3492396908005,6786.93853614048,1817.5990278644638,166.59566562328214,-86.44492680418648
5,7,-109629193.19470629,47460796.18529968,2908184.093413461,-1339594.6399166915,-336016.1691968083,-25337.92688403585,5410.200265119579,2255.6534582309678,412.11406897358734,26.586802783575042,-12.075725596108919
5,8,-3285819522.3984275,869544753.8057367,133245253.19130896,-5709567.4843154345,-5864801.85815678,-1192198.1621977673,-78051.08978771759,27625.41897709106,10683.648722195443,1374.2398708613791,-408.35643426466396
5,9,4758865.247590201,-3303162.696028555,187276.3848595502,153723.72850843705,16085.286159852396,-2935.458628251262,-1358.9675909485836,-221.50182170605567,8.325163788261426,18.74763652445403,7.9515745220027
5,10,-3618198.683978377,1939003.747319753,120953.14972641501,-79870.86819637562,-22658.747264071233,-2193.789746004752,418.8706378009038,252.39896886134161,72.79348318776893,15.765238818726178,2.718033873945575
5,11,15730043.528731754,-8346869.933872396,-126065.32141981166,292564.02234394307,53449.92113399904,1015.0519850156257,-1632.0372379480223,-431.18020736540035,-38.0556533921065,14.783139713597308,9.339953289674877
5,12,-6032373982.301997,1841115383.6092932,299059200.8555029,-17019914.98265976,-16808823.15245751,-3754656.614217353,-278615.5118522678,107030.50008019678,47407.06664176997,7046.115010453654,-2317.590384749493
5,13,18939742.139170382,-12300061.989650683,810835.8269113783,473188.24156840827,33417.11949505328,-8895.684070052272,-2980.6169846605408,-411.463928081942,7.939715352470659,23.31256335441926,8.761351934176007
5,14,13639651921.465208,-5175934503.028119,-786406250.7979655,90416568.58358248,62243732.89579732,13197254.220897447,653829.1871959331,-553251.5331348344,-218774.84320671548,-29880.68008850687,12385.593674311338
5,15,14499924.697986046,-5557168.37034297,-1039845.53074383,119406.81717011264,93027.60056280285,19401.929107794098,304.2214806572313,-1094.6737263973175,-366.38460813700675,-31.379553184123104,31.175503763815463
5,16,-373742487.78051025,120525869.84147035,15936525.971738456,-1622168.0974019605,-957112.8919288258,-174828.73829856145,-7171.268607667227,5714.820461480038,1983.0058879853634,250.06509498978218,-80.20252726271957
5,17,-30334731.42632181,13165986.960778404,1068308.3946144995,-369912.2295412309,-119062.45408990746,-14093.667474926784,1204.9652245132597,989.6405325476615,252.2689069611272,29.89260182312546,-5.982500781377692
5,18,3490900125.2397137,-1025051663.9539571,-132535436.59167302,11253981.397905357,6724992.707212241,1177195.4037318355,49560.56977452828,-32530.224312470385,-10683.81882100906,-1215.0184333974435,417.1935855481941
5,19,38813894.18497967,-20469484.808644377,-369673.59682861617,722145.5395220246,144788.66390857982,5342.834995320312,-4262.712433985177,-1376.6601840560663,-203.56194672771568,11.614238747010937,19.50088412326764
5,20,25748421.047654975,-16249991.68742562,-334766.19905303116,701143.9412628538,169551.10798442492,11236.7970728846,-4908.918293098088,-2046.334532879346,-383.68182358969176,-0.025564997400026046,32.290622483173934
5,21,33576159.61831369,-19383417.02604688,-474658.5525280983,822923.0280274897,192072.87512434216,10549.095534120748,-6281.686556972323,-2483.3276886667672,-461.44120877412945,1.9128397081886146,41.32276713895472
5,22,-334992430.62789744,143411412.2564745,10936862.071315847,-3715119.123574178,-1189127.188061807,-144721.2715607802,10104.305878662712,9192.013352272967,2242.5671821823653,183.20138632949195,-103.52461574607426
5,23,-99553447.72902448,44717828.76397218,5470083.2607189175,-1263368.6399408216,-605301.6455465895,-105321.10129790622,1548.8941949019347,6804.998144298197,2193.538776706134,246.53282510232867,-132.44931918069952
5,24,7843554601.236929,-2982712430.182405,-484548158.6516877,47343361.631690934,38360704.88487456,9028157.255029574,660778.8103062268,-350609.82784410485,-165596.81933158328,-27052.0829701615,10242.632464743883
5,25,53881302.82805368,-23517130.50996509,-1709682.2901123127,647012.1605834393,195847.8133241704,20091.785802646926,-2790.3835295355066,-1584.5128304937116,-309.240825728452,-2.7905737567212983,23.084528267536104
5,26,431891609.02524185,-154972899.0699543,-24736063.482440814,2885444.467071471,1949187.177780426,378109.32769110653,6506.124454611421,-18545.316401503496,-6032.927408395851,-632.7107267695409,343.012382494121
5,27,5043971681.213573,-2082411642.731147,-152743099.86505935,43052291.97184443,13806269.589263815,1780214.2177106861,-46923.788127725704,-82411.42440596377,-21035.947836349,-1866.3274809805582,896.4027794858853
5,28,-1084075448.5828915,341232348.18293566,42799204.30974463,-4616421.88236697,-2490962.1818090947,-423319.4326426212,-12005.126160906786,14156.288651774867,4415.32577246575,486.1272990914668,-177.49453037956525
5,29,9284891.623066692,-6308680.415292773,354713.67839329643,271001.3943060923,30672.809455595172,-3888.275465859499,-2219.1171486418725,-442.9424639642166,-22.676915197446878,20.049175384311702,10.568982756705562
5,30,25171401.784062117,-13029175.148620652,-300762.0411956664,469248.77652447205,96710.5816176374,3452.76884776147,-3064.100524104461,-998.9823609462487,-145.40514974833832,12.85424045896957,17.106905491823632
5,31,76338189.3501245,-34715481.67374121,-3299730.177668396,1006538.6825141215,385671.8755901183,55212.28469204344,-3202.8800666660222,-3923.449859602463,-1066.533558412304,-83.06843363720593,71.60361546046745
5,32,-329293817.7547421,136153330.08340308,11453256.560876207,-3669549.80507863,-1160205.291531698,-122508.03538693633,14728.332601262387,8860.029073334208,1838.3657539600574,104.72560590480714,-83.15295257850973
5,33,-80214517.44597557,38816669.148638315,1559533.9308553534,-1255891.8782456291,-282559.34315873357,-16866.809204533347,6047.643645009098,2235.4097877090494,396.0039373778174,22.220139764044234,-13.424471837409039
5,34,-1632976760.2314806,534416700.54244995,70409141.75257343,-7127316.22235988,-4202404.867335213,-765894.9329400397,-31647.903182313174,24420.98166277488,8336.55700752383,999.7169743345656,-349.49027985949454
5,35,-1027168973.4016408,315014717.49163944,38591229.12442171,-4050100.6507756948,-2111995.988022376,-345271.95710442023,-8973.774090918272,10853.682572336393,3239.5678694152116,344.1238784541416,-118.56444257054713
5,36,1312568830.7319465,-438041503.5779019,-53952824.93905843,7022363.868603346,3474368.184930906,555627.8950973095,4691.0725143321815,-21452.247197265664,-5981.742011777292,-546.3770296364938,257.86910242062186
5,37,186655600.14941072,-68816869.26418877,-7910068.851758412,1402464.3527204741,620455.0223606349,94863.3210576836,-1313.3781200925528,-4616.109892203494,-1251.6237197332541,-102.07667131970355,66.96809777047865
5,38,-16432506.577554045,7210501.102823576,479262.09690687084,-190076.90216847486,-53799.38667827964,-6099.880787091678,356.2018852510573,353.83701090063636,101.81762683567094,20.0135910899165,2.634101245706992
5,39,2040467022.8595786,-770473920.8948255,-63627221.32556184,16127723.72411856,5277082.089209604,642208.8973042603,-31240.88494708975,-32921.377793055726,-7708.760035113305,-569.9816200020368,341.10501968222
5,40,-902456189.9173056,293653914.4019792,37615118.24592822,-4091684.6712937173,-2299347.403017106,-409109.64040443854,-14144.555152333156,13930.005527261708,4606.750687935654,538.6208294658364,-194.86985844414252
5,41,-6835203624.409681,1612178635.6277318,306866364.3940331,1045975.2092250482,-11344729.832505463,-2912491.8857498625,-299241.1856962329,47059.488434812425,26754.148210416493,4267.864769654021,-1078.5498039283539
5,42,1107334349.855682,-500978566.0881628,-52806185.50062806,15673441.282923874,6223560.208392242,864292.6105211603,-69665.56291518174,-67115.59830727988,-17219.492199845135,-1256.0303784107662,1051.2271558257814
5,43,23914640.208566148,-9504802.722361349,-704378.200438501,229759.6894136628,63671.031981393025,5916.3602241227845,-728.9968793549014,-363.10894213169314,-51.52564814340683,8.752729971479273,8.311224895958201
5,44,-3052736138.1329365,1087782047.6455429,125571555.0153449,-17354632.848273497,-8343767.521760412,-1390471.9088054872,-33698.35261780269,49298.757212605684,15263.343808452893,1658.3129928809083,-637.4431285579255
5,45,-1055564273.6464492,499543962.31895167,22913745.772007417,-12861997.289633185,-3338616.8535063746,-343634.82572846627,33681.71117076634,22990.79441657033,5194.246460909333,389.4027509036143,-231.99515149566474
5,46,-4125223.4617529954,1853137.1351038096,185982.19371311515,-51035.07759095475,-19564.49251029588,-3073.4319704601244,-31.996426068681195,149.823059734847,61.78184128042624,17.885761389449204,4.423177658320576
5,47,97633358.9559476,-35296834.938257664,-3694257.897442416,700160.8789050448,282429.73539145506,39922.489078098246,-1044.4509397163304,-1954.27771672679,-487.73743059199876,-29.451561395897755,29.804713291421464
5,48,-5511723.318776774,3038287.6604902325,81463.20435317421,-118509.63878180929,-25550.275508096565,-1623.7113180176248,564.4338513581864,257.758224457262,69.38725061168923,15.383481187540132,3.076577317044856
5,49,91951693.72768228,-49982152.571845844,-1007839.5780380806,2088220.4064376322,379302.6204647081,-728.2861378714921,-14737.923304660811,-3942.4378024537623,-510.357507752096,36.15484759793177,46.34395855658958
5,50,28630263.752923585,-15119442.977367692,-233031.25105897806,558286.0002489834,105600.94057564066,1309.8929842788218,-3786.6431647331506,-1046.599772325038,-124.05573736897618,18.320439487628406,15.958732256407865
