sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10
5,0,1.8538705073363113e+25,-1.8972712059026094e+23,3.98991534769969e+20,8.836007847111772e+17,-894767094989541.6,-5823036757828.204,-10110140639.728155,1784780.888262053,72925.67097763543,307.96253252054834,0.9451568049022793
5,1,1.3728201365451128e+21,-8.53634425424169e+19,1.4200681956467786e+18,-3145553619177317.0,-34109048644674.76,-113886564808.2036,-41969793.01741165,2310822.712193008,21283.674275465386,139.21267720766483,0.7911874721532803
5,2,1.0319104266621013e+24,-1.971551272021153e+22,1.019860663484426e+20,2.7667702462693224e+16,-674956296618742.6,-1838193533591.0945,-1103706060.9483676,10618506.21308514,61657.277564126074,232.95911471594965,0.7454083301396864
5,3,1.1730793913504461e+24,-2.1541499928682116e+22,7.389968103589591e+19,1.950426285555712e+17,-83484978522499.66,-1729972231013.8777,-5485509462.707383,-6246249.892709959,30208.549288439906,246.64405265862166,1.1388945512059976
5,4,4.410073953995454e+24,-8.874218136800479e+22,5.3457623270858496e+20,-5.4063186191202906e+17,-2542645033081329.5,-2266771064563.5703,5953398999.124007,32549709.692395143,97907.90116986143,243.01353311818218,0.5511269788753655
5,5,2.5637096901566536e+22,-1.5031474787059116e+21,2.311713354031041e+19,-2.5316416316995976e+16,-248548253224788.28,-687478093994.7988,-628148694.7094909,4825351.469274164,39048.7696209162,198.89053942855958,0.8558219770941667
5,6,8.612148985664288e+23,-1.4420456240176752e+22,5.3879331354078355e+19,1.0599361096423026e+17,-214675845771775.53,-1474319938468.7646,-3494351857.9269977,-450873.8798737863,38250.8741911579,234.03330049431267,1.0118462240553392
5,7,3.230601501740736e+23,-1.1374624796742997e+22,1.1948842061703374e+20,-3.177455399175552e+17,-753827608701068.0,275217694106.52264,5817176921.229017,22812630.646752175,67641.0180443475,179.30293933005808,0.45081029752386753
5,8,5.9968573328377756e+23,-3.3826893276793576e+22,2.5923730519549454e+20,-1.5548995754611123e+17,-1522542866170544.0,-2952727509960.455,-710592787.8654096,16393085.255733127,78274.38427889027,260.4437462773573,0.7469678106934593
5,9,3.4694509141906743e+22,-7.414052017238016e+20,3.477885190349777e+18,1.061294484436848e+16,-33315590224954.203,-285068218509.1722,-778513358.3560832,905057.3272856985,23237.41823282221,166.70742639862536,0.9052318147707875
5,10,9.974461519689433e+23,-3.304608658082714e+22,2.850165297550004e+20,-1.1930182386715326e+17,-1545474640817923.2,-3482350768403.2627,-2884501830.711674,11256089.282577127,72474.0088322463,274.0837050352341,0.8616890502531755
5,11,2.4152849956871551e+24,-6.1912199726547285e+22,3.194157713495804e+20,4.399816436166634e+16,-1566696231542600.5,-3556341658687.936,-1657317819.544727,16269689.37148067,80873.78783238355,265.16389888933963,0.7375069244869175
5,12,3.5376402723745827e+24,-4.423406657382381e+22,1.206232288406773e+20,2.6143137125626218e+17,-406344145306935.1,-2643041783934.5645,-5216075089.1767645,1446780.2992690376,53534.80156089585,263.316424370452,0.9480339599172719
5,13,3.169227178596183e+22,-3.2667864789291767e+21,7.6818542836998e+19,-1.7175160549397875e+17,-683777460032529.1,-836167830850.6321,1758826922.8356857,14845792.366260046,61395.539928538106,206.10140953574356,0.6254914096186106
5,14,4.9670888957050715e+23,-8.035754123732726e+21,2.778304714341172e+19,7.053320872697905e+16,-129558245027498.47,-1039469104773.441,-2563321360.9746284,343418.80930785765,35648.57256977932,218.91590963360326,0.9700738437776035
5,15,-9.220304964586663e+25,7.973502182630452e+23,-5.7175351868379046e+19,-3.1552391282165023e+18,-7353670754110465.0,-7320943621862.394,11093992937.793585,74918966.00490841,212220.0107310788,364.5753559180899,0.025330980568969725
5,16,3.885255793192526e+27,-1.9386619217171893e+25,-1.1138590503114925e+22,4.9735749606727385e+19,1.4810101833122026e+17,182814794389106.22,-101476420224.65181,-1091654888.8910656,-2765346.32181057,-2244.2926928530005,14.61302212427925
5,17,1.819718942991952e+24,-2.401229989217831e+22,6.64108554915752e+19,1.6074127353974518e+17,-179705867712840.03,-1642321514586.2004,-4144432219.8117995,-1673473.9319740015,37562.936743080914,238.7811570410384,1.0358719429602012
5,18,1.542984777608939e+25,-1.9276816286923693e+23,6.05614470047518e+20,5.28324759892395e+17,-2191098771748416.0,-6295332635728.279,-5534943135.45096,15904294.402428763,93185.7506273651,300.66791861994614,0.7918031063367039
5,19,4.143105368167932e+23,-9.557692909018681e+21,6.511968171433803e+19,-5.3570307804346296e+16,-513168506403138.1,-801418465041.3615,1423548956.216191,13646488.699261561,57468.19169277013,192.70417670974248,0.581900596683654
5,20,2.107769227663031e+24,-3.7619528421834926e+22,1.3722465533614999e+20,2.253835523181522e+17,-483409260546241.2,-2694740100532.1377,-5266365804.556705,1042108.9231428452,52301.69011741408,263.7963615238734,0.9699963170507007
5,21,2.6732736198773853e+22,-3.3586599268733325e+21,1.3275399512475002e+20,-1.5819873754714353e+18,-1582241220802277.8,1487720320206.4656,11318774576.331865,36469334.34914406,95324.19770849132,226.5231322201425,0.5103610019199595
5,22,1.0958949775780063e+23,-8.143228787726646e+21,1.0887845929454543e+20,-3.061390265712148e+17,-875514506978277.0,-404668095115.72266,4137998845.248744,20599266.778220125,69042.09716392517,199.8738462200402,0.5380536986492269
5,23,1.9954518571000259e+24,-5.608306867705124e+22,4.940096672333512e+20,-1.02683000934705e+18,-2921618262575223.0,-1986908646355.643,7011575384.887977,34397020.72076298,101742.1046387766,253.9800648309398,0.5836394077465434
5,24,1.3157873219281437e+24,-3.923450042845917e+22,2.8901609532275376e+20,-2.2200924490219645e+17,-1737725907640136.2,-3103758083121.718,-256305745.67922494,18226701.547225263,81901.59424108114,263.69868036525315,0.7380391262938173
5,25,4.070747665759543e+24,-5.268122656231145e+22,1.499028280471682e+20,2.8754992753584275e+17,-448981468062434.7,-2864331951723.9272,-5936269410.092618,-379693.16901688895,50916.03342569696,267.85779036940386,1.0004628934935118
