sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8
5,0,-9813197975058.504,-177506062289.7933,43046469453.93695,-309724339.5409308,-13362381.456493823,-109384.99078555159,1914.8156004531872,90.50916266013463,2.163247515309827
5,1,5075645400239.765,-2114413542709.6611,111972476294.42435,-603536092.9446466,-20423447.50584755,-133633.57636848386,2415.435126620267,97.39650697997205,2.1059005943250533
5,2,5036376460097.654,-718298300234.3002,26708018232.409626,-45034622.03039491,-7713490.366837751,-81650.75225840788,1356.8084065730927,77.9933688549281,2.143622392008982
5,3,671134676100.6879,-396529222459.9528,59446891426.40939,-1351616823.1753058,-14752883.81589165,35854.120133652155,4036.794359609526,96.6327842710161,1.7530059119141113
5,4,7954221680078.95,-2125144495580.4927,117944650813.32709,-1362072560.2778556,-21272507.75061879,6355.712297646867,4472.3768144411715,102.86403314225379,1.7036172319294718
5,5,523011958391.8596,-165598530414.81296,14615428802.00079,-227488284.64199644,-6032282.589437714,-35071.14778501679,1587.7846154365643,73.68510911445934,2.141785837757355
5,6,2133366409165.7244,-848517070302.5895,83609203090.68826,-1832901623.7779756,-14446437.723935027,133458.23877100772,5265.222788273085,97.48396754484311,1.4616190549665076
5,7,133885699612656.58,-16010009012774.127,289280094519.6998,1303847993.4006813,-25238492.40198557,-395524.14318991534,-294.86254591484726,94.58754248069337,2.5232878925588085
5,8,16654141515914.807,-4848062344556.624,271816823455.76605,-2475979810.50839,-39440517.02144296,-80332.21757876343,5024.161873365078,118.83441407028705,1.8791917904142779
5,9,11437825039279.121,-1393414158302.7117,47633683065.97946,-89766900.74868906,-10943940.182695566,-105627.50960299956,1566.0273164479402,84.23332259338689,2.149620453447701
5,10,38847729808700.78,-6072194877676.187,240194520884.52603,-1682700525.49592,-34301501.472443745,-72347.55702740153,4774.183422777518,113.67247724522325,1.808887756599048
5,11,-16673826935.925127,1589088274.5942888,402972254.67299503,-12524646.99700806,-724337.4240584475,-8327.897501339361,607.3203956790423,46.56109171261285,2.1012177947166144
5,12,-297363106127920.06,11818708789091.229,1719270427.3844783,-1633071143.3280478,-21470676.067850772,-62044.91898834218,3439.606348518442,103.23656111015514,2.0233804031359814
5,13,3266946466157.6694,-260205319724.06473,4993051687.012857,83147855.1182005,-1668480.7433763673,-59913.631724402534,6.196002799436813,54.38038989399166,2.4777310990829697
5,14,-557724467932417.9,38067973313551.24,-176005293733.76462,-4625428281.498477,-32879149.90765546,98562.74562473911,6606.77566479612,123.09639764538407,1.7248001446808938
5,15,1877744466059858.0,-68704625351896.37,289798046094.8687,8444555804.0125,20100950.02249441,-790729.3321774402,-9571.0154569706,43.20285155742139,3.555183002055077
5,16,4507492426861.984,-1578000939216.5454,101446464059.59401,-1510279222.8254673,-17904721.795772735,67550.00028430048,4861.600764312299,99.92573997370016,1.5733748714911184
5,17,11886215964880.453,-1685083657678.7568,56155007625.70909,260714243.6548322,-10951181.443039993,-218573.42220855004,-566.8917661113206,75.8487925299718,2.820488476341745
5,18,763448521533.5298,-301774341124.8766,30493467437.420536,-667734980.449853,-9195249.90957249,15520.505452772024,3030.7910266526637,84.97031074697418,1.7824303801289003
