sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10
5,0,5915629816.988605,-1861612981.173867,-126685132.65795529,28435540.582870245,7274930.954882821,633876.6994030845,-47877.84509181985,-25116.54815967353,-4108.448400284473,-166.39646187611797,122.15202019737252
5,1,99353170.92353459,-55408061.66264811,4061556.3347100625,1271400.586454168,42622.479822110734,-18171.544167461092,-3783.0200428160306,-313.9160322001235,28.751522759432216,17.541454846731668,4.492960710933331
5,2,-129277150.01755424,66193900.90399953,-1168892.461989576,-1474581.424276358,-203425.33782977617,-5300.367766244714,3839.440859350063,1066.5341592881107,168.1754092173961,13.611614283547281,-1.8249837424354416
5,3,-50408476.369182505,23792812.862012565,273683.2616411513,-683312.3690585248,-107417.55297215852,-1734.332985512755,2534.0365896698354,669.7778167618939,105.10930561489194,9.633336403748208,-0.4692869375506328
5,4,-26635790.03328618,10908557.497706214,560725.2849616508,-251331.30392136282,-57156.223326091735,-4797.726696963815,486.64980290987927,276.63606711064523,67.42808911176338,12.685233878475488,2.062174361252548
5,5,-65967258.46929349,31029660.215659365,178165.54784403258,-717226.9637447788,-114567.51753292538,-4977.503382756545,1727.4160361900233,551.6813653484128,99.84701337087405,12.774530046937944,0.9073131298490213
5,6,-104606856.6392766,47712715.3504215,-374446.73469424807,-959666.8692929855,-138072.1510223371,-6783.141054902518,1441.4456811741704,492.8912699198207,93.62212191221018,13.885251580240082,1.7086136610137768
5,7,91861475.55841747,-43434430.28284787,-364990.37319410616,1114843.1665267195,181240.39423902554,4264.3201882083185,-4088.644325556075,-1043.1634254549097,-116.5334611244206,11.007730732737018,9.934593018514194
5,8,-746407763.295202,394546623.8117433,-13916959.563152412,-9091829.554189045,-977575.9265673858,18645.595724467952,25459.561364650814,5237.588429681608,603.087377622755,3.3929143810560434,-20.47079584351649
5,9,-698931773.8443991,208621520.81294742,15221427.640905958,-2310310.4304376626,-689758.9062729178,-79249.47348345407,-450.9365320291892,1810.7152463681798,414.0486978906936,41.10343192678818,-5.759450120871311
5,10,-814453.6411963046,-2265204.006341388,1175273.5110245016,65317.78772600907,-32901.64496656859,-8078.407285753148,-737.1319908093454,88.09920801673057,54.76616403283632,15.073339372562806,3.2553884955247927
5,11,2193941672.762842,-748423562.0964556,-23380002.78437857,11683332.890341822,2043477.6067695478,114216.54598318083,-19826.004876119056,-6348.44593543424,-861.0373555634784,-15.605524392538372,28.25232160431296
5,12,52599689.0014868,-33134024.401380993,3239534.155324404,793448.6483930413,14268.664216269364,-14605.244358305086,-2924.2698368955275,-235.28509709944393,30.255788618088257,17.117923803852612,4.543175952300151
5,13,32064257535.03567,-8855169648.157167,-596228095.8859239,79930028.27725473,22399224.063178606,2395776.56122713,13230.209603585592,-46157.51512269522,-9338.959197144115,-655.5199526513233,198.57472834474189
5,14,11216792.550137794,-9635023.899251102,1904116.611087322,206819.9756427386,-31755.80254384893,-9696.046949916676,-917.4216776486214,89.20896759795771,57.032299857059485,15.028913870913678,3.079080879575481
5,15,395123277.3971686,-179088096.60474935,-2699387.9850950707,3683062.336572481,641173.0967396616,34733.89436301526,-8314.093048015113,-2698.3245537479675,-381.78127133708284,-2.202179220072209,16.84485886448525
5,16,40336125.72843392,-19617578.931056835,765816.7177798088,483862.49558963126,35812.30247601118,-5851.394846519977,-1900.1013608438896,-209.85523044003122,18.185316060646326,15.079621934712693,4.6233847772690675
5,17,-11699667.513417719,-1038832.1887527383,3206067.781410944,-91617.23571227265,-97171.29281328103,-15287.732045142846,-921.9535741120902,167.5047786046151,71.49115806708637,16.575158150954973,3.1364785762225718
5,18,-1161031868.3476918,490621489.5025341,27680118.241133437,-10857268.525715247,-2920321.8993442734,-307534.3908196427,22833.98226213392,17020.6565190288,3724.7251199182324,267.8306966482826,-149.08975026222717
5,19,198453776.9586396,-76116777.70226127,-3613409.655578852,1428318.833626859,326874.58203031105,27378.059502362586,-2836.4874560241174,-1398.6082187062555,-233.2953180721299,-3.0543516009439218,12.047579791002136
5,20,-106107102.96524116,15787191.143708047,3610399.613553985,194499.79404330652,-50179.01289141604,-14968.14713495116,-2040.036120195209,-76.60246421900001,44.63775390996401,16.8295101265995,4.095872744074592
5,21,8308425867.102921,-2536726730.126081,-212558902.805102,29548665.75080311,10229373.263226848,1308188.6246800486,12788.587661602704,-33470.28197558076,-8006.615876328063,-661.4605435259087,230.80447607442295
5,22,61726080.96294516,-35545162.44196059,3526206.795598301,656371.6444210714,-3426.8760249794173,-11769.800476488834,-1700.69844786639,-25.248025531348045,47.74280469126268,15.346394077247329,3.399723537700937
5,23,1733428123.5574837,-627829509.4572691,-19278434.31528526,11371720.591028292,1976460.7483084796,94142.02565586954,-24230.758750277568,-6861.8023877606665,-860.4251344774407,-3.3558852336433618,30.297551263853563
5,24,20791274.194881074,-8756223.424668044,-684231.9075668472,227496.60138409463,73853.64673779393,8615.180736351054,-809.5121656262639,-586.7277819344927,-121.75040375018187,-0.2819941781661846,10.539978885572996
5,25,-1367200821.2182252,572769132.1949412,4625489.501376837,-10735990.235916993,-1494512.211418623,-36900.23479933686,21530.67931404172,4880.5773199234945,566.5469223119951,13.578082141266703,-12.424092931114592
5,26,1496323.8915327895,-6005735.744802765,1107526.7012090827,323414.4709874091,23613.113124210147,-4757.581237328988,-1795.9342514093769,-274.81686567177763,-2.908716493816806,12.591635156727426,5.011031778905004
5,27,-723306032.6155276,258693381.62499607,13027965.067368746,-5123784.226400317,-1055756.245805126,-62326.89430449522,12798.606482952284,4197.8319400810105,608.6836813448256,23.430797945453886,-15.76751648816395
5,28,-702168939.874488,54121087.360015385,16908343.053793173,1902314.6343833709,40872.79986394119,-30795.882446046693,-7814.625638928913,-1108.1306756064184,-66.52424267250045,17.685887075478647,8.398007019667046
5,29,-5284064919.967218,1210710597.5537138,113456897.53445089,-9321877.053971043,-3568380.3809155626,-421066.2277708413,-4308.8930664088275,8146.495996026004,1706.2797797286769,128.05254871721698,-33.679477870969336
5,30,-84592504.23969463,39115021.19062894,-51688.15635596873,-841864.9551647169,-126410.44239350008,-5294.133534047321,1759.3603728377032,547.5532686784242,97.68175126306795,12.776208058330186,1.1179378499475185
5,31,634876937.3295999,-205570663.9126504,-14164965.88037922,3366351.145097184,884337.8054933103,78106.75059648909,-6899.447584411598,-3505.164676054472,-569.4568174449626,-13.743487531745625,22.510536385638208
5,32,-1007128034.904972,508443915.2190518,-12981601.52862382,-10278223.088297423,-1213920.1790685467,-18161.146779307794,20113.875319455223,4559.436207827671,560.8466430509843,18.1346118816297,-12.300581057783017
5,33,-50057191.00048153,26365450.672141835,108822.09101798663,-809865.1083166089,-146860.02968742454,-6224.470816566048,3339.89559206307,1110.8991937919373,193.02713357851886,13.162623838921368,-4.921763435421828
