sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10
5,0,4.1522297920848786e+27,-2.6443072598564403e+25,3.531087334692481e+22,3.9994755812973404e+19,-2.3185602199491016e+16,-92850313455888.11,-104981981308.11124,-11201436.412645044,222008.77340615567,618.7175210807802,1.1989419625933913
5,1,1.8154260161715057e+27,-2.763280737833216e+25,1.0688947231086957e+23,-6.6593810043326185e+19,-1.4988506401316464e+17,-77327057585811.48,78528162287.95111,255191423.5603231,421935.52835255134,569.0606948875801,0.6969043901950989
5,2,1.1076592772557381e+27,-1.2193339591112814e+25,2.3702167428952488e+22,2.142068965347388e+19,-2.1072643257522868e+16,-68746736880131.68,-77796404197.29808,-3529394.294650015,199636.31276146224,580.8005522399604,1.196126722926374
5,3,3.990616973896438e+26,-1.0916162287644505e+25,6.10765797613492e+22,-7.619065958733901e+19,-8.787311464461678e+16,5694992090128.878,133384108552.12708,257816829.70413914,368280.06988796673,466.17066455481233,0.556590516926024
5,4,1.4408068337937482e+25,-8.967071397428711e+23,1.403695934070624e+22,-2.0454998291820384e+19,-3.7727592303077976e+16,-22802252327222.703,28763405946.484932,121957381.90388364,265045.9088319307,470.90298033646695,0.7582874632363594
5,5,-3.9180039832013387e+27,1.9026306470482436e+25,1.9473772449581515e+22,-1.5179173195192445e+19,-6.3553632611197e+16,-91668314154782.33,-64011946759.87221,50548087.63733998,276095.1167310751,629.1329856887868,1.1194305062816483
5,6,3.880227869429354e+26,-5.284458056901678e+24,1.5562579163998514e+22,8.69342502060793e+18,-1.8471775122553896e+16,-47287151248674.16,-52996047687.40755,238810.3259510943,167072.47378482998,531.4234580493478,1.2210246447653335
5,7,1.1115558329067967e+27,-1.1600023801657567e+25,3.5152291072612304e+22,-1.0456492508409743e+19,-5.920522527625923e+16,-47475165505392.016,29295784753.11273,155072633.014098,314499.2903780109,499.6792756232213,0.7104198874908375
5,8,9.493330842622617e+24,-1.203955571430699e+23,2.6571474912275602e+20,6.887698442649663e+17,-339610353768486.8,-4496776693458.485,-10485677628.030437,-4664732.666982851,64140.598456641805,348.22604935016176,1.2546479322980597
5,9,1.730580524354061e+26,-4.174767550269015e+24,3.3064705659325265e+22,-9.22633601245952e+19,9478802667643474.0,136964732848746.98,222975658219.877,276059896.9021193,313424.44939163973,345.51080144102895,0.37716025095380135
5,10,1.7531692747494268e+25,-8.065245630135611e+23,3.8634419151132044e+21,2.2422862593855792e+17,-1.0219295172317354e+16,-19544523648550.004,-13427306090.217253,32798222.777078316,161533.0702961821,445.4205552369036,1.0081301483889376
5,11,3.945571344353146e+27,-6.351155353654493e+25,1.570414260810366e+23,2.8230434947779146e+19,-1.571230745307201e+17,-203661546723647.06,-91298878335.07962,130848333.51284067,407498.5076155653,697.7877851150281,0.9770233626909198
5,12,3.7483066729250127e+25,-6.425713841694961e+24,1.523650974262307e+23,-7.132189992506179e+19,-1.9253012537919475e+17,-178867148016781.84,-51140782968.755615,157110318.833425,413506.6024619426,692.4627275728914,0.9760102851854556
5,13,2.2874309844892515e+25,-5.855780533879591e+23,4.6861208829834423e+21,-1.0438348060658164e+19,-1.2561379664937652e+16,6513793194259.918,46096636067.48465,108005865.23859705,199357.26740997718,333.60330297817194,0.5323658769594448
5,14,4.689891021828458e+27,-4.2381931301435285e+25,9.849908788687146e+22,1.1660654438375543e+19,-1.1061175112863288e+17,-149761305090047.94,-81432699769.4955,84949439.75167368,335923.31920204614,663.1218578989595,1.0642498431765386
