sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8
5,0,182387511833.75082,-56094587517.318375,2243526314.76713,37273740.251203194,-1053667.4712142963,-53599.88624393681,-236.7943390008796,86.88215144253839,6.443853333301305
5,1,-611251408390.8043,110506120918.89087,-2885521870.5491405,-137155149.21383184,-1021284.6537425461,108614.93919359526,6007.466936950394,153.38037142911773,-0.8978582764766032
5,2,-99872256790.53487,12864879210.4364,-18719856.761241376,-27092627.326328862,-938050.988672971,16299.369796344266,3174.6266484416906,150.50247648111178,-0.39438860548363885
5,3,-134282089889.63145,-44470416729.17597,3398955542.632184,14027935.74196589,-2467557.5299025658,-62247.18303860416,729.6207868808507,116.0720455168488,5.724420333309328
5,4,708130548151.4819,-146107764669.83484,8117934739.030154,-31297289.12722167,-4488160.896681082,-65639.08096763752,1576.6770653039114,131.98032906817534,5.340404868842882
5,5,23067066767.773777,-13258584562.933744,2501132573.449761,-161213968.45053145,355025.68163719523,109982.73497064135,3882.5308330231205,103.89134958656294,2.5331664498014312
5,6,8242178023018.527,-1279099886198.322,25219193816.038944,1698037776.1817434,20413558.722439054,-1319306.0734728114,-83223.76574286514,-1559.4049850220213,118.80283102166995
5,7,19539890095.712437,-11936138720.555998,1974660458.5713873,-64383620.42454366,-1834635.6538138362,10589.286869225896,2359.4162377366465,114.59311954018267,4.183426264725085
5,8,969469913.400573,-501312419.955865,72389812.69708219,-1641447.7582520046,-205463.73251715317,-2725.0844368376424,601.3024674097142,69.06550719438351,5.102558906705331
5,9,-626262249355.4143,58687358983.67437,243624758.22030467,-54768277.251582295,-1779786.147899581,-6033.445977073464,1902.5127476108357,115.7626482462358,4.750554916884713
5,10,151098487549.85544,-52787532504.51296,5317907573.781306,-123515825.53334405,-3743526.633539088,14.512108125647334,2910.093316664481,133.14947889624221,4.36812354876028
5,11,-92736521875.37933,21894435031.797817,-532501889.3459866,-32899833.584311448,-454489.57625989773,22226.60243301887,1941.4417321903784,95.25499607686187,3.8407681906614393
5,12,49187927382761.05,-3109409547685.113,-499948638.33351576,1644200927.590746,31968849.33019913,-227780.28515448436,-26428.684914855217,-459.86658457373125,22.39088592613979
5,13,-2985652790979306.0,178266376445326.25,633767522038.2949,-92323104829.61359,-2265746856.4034324,3938604.787673872,1634322.0680094631,37160.1380844209,-1002.1427471863594
5,14,158380077553.60196,-44511147128.32332,3709066261.969547,-56175300.462985806,-2804441.249255034,-10772.935969100443,2304.1794136261433,123.13265148906393,4.449091143052657
5,15,153537782614.42065,-58377297159.332756,5773906325.171223,-133368325.82375306,-3815984.066029395,21952.995832377343,3622.4801034264165,138.15364762801835,3.893412643614436
5,16,1309480577775.5618,-320590111842.7722,19072260374.38075,-157451493.83257285,-8431173.669048222,-56375.69860051767,3283.131331171646,157.62212199640464,4.680451591794274
5,17,3828103041.4953437,-2057578792.5215256,264528109.1220559,-2787274.3352232934,-467695.0379463554,-11395.876586237287,558.224701372992,79.74008839987512,5.730484845028547
5,18,1048914818348.2192,-301703906345.9636,15000807392.577555,-7187644.959210961,-6698198.260342718,-101159.78711320182,1728.8486207803542,145.17319394160046,5.347958147263018
5,19,16433198289734.6,-1286420442094.9036,14224358528.07772,565630773.5416927,477369.57027639303,-216982.56766191873,-3560.718462382838,87.22386071670024,7.432303376768504
5,20,66255211264.71925,-37161574250.33889,5678574134.432972,-217305952.51390842,-3496264.0182979144,45901.722108134854,3840.389263757654,134.9458007905724,3.7809290207120876
5,21,95794409249.69138,-31156360856.86737,2774888401.0195117,-48854717.901630364,-2259954.8632668713,-4258.343389824713,2209.858146494016,117.75654374973789,4.3669407597750025
5,22,391185663734.3323,-102781414629.99883,8794419076.396402,-213771890.32581547,-3916626.96584248,54201.75905706096,4180.447179023361,135.40905414621068,3.48133146151065
5,23,542547170037.7308,-148505707942.1496,12365746420.28203,-236600713.74227625,-5977525.711377792,18716.920608926346,4076.3662141570817,147.89122786792583,3.971194967710898
5,24,2407099195403.546,-372057569478.618,16846211066.19832,-71401758.51332113,-7510137.853778602,-67314.8867975617,2881.0365134634267,153.14800631945727,4.717087117875964
5,25,345864844275.22656,-68859281614.28253,4188151688.034722,-35710375.35872976,-2981851.4947292116,-23018.308938337606,2139.4891596717766,125.15925294563785,4.599029296677974
5,26,492926576312.17554,-117491262359.96477,8368453352.152395,-98588532.59187855,-5301690.397476297,-57823.978306449884,1986.3460304459463,139.14450983599207,5.424399818999811
5,27,843445617929.8699,-223592768474.0277,13089579363.329775,-48365326.70637945,-6286891.915854541,-83076.15470711817,1957.217271286592,144.31889141541868,5.222147761404149
5,28,29821120915.711357,-24087034683.109253,5844289121.321725,-409668722.4344146,268059.92332381144,172869.81026590263,5383.0616607774755,125.8458836986046,2.6554616860259843
5,29,387597663210599.1,-26221468000192.316,158386389202.8796,11572070692.892336,88910850.95343214,-2964948.122477181,-95751.27364364073,-705.4737711985066,45.36108129288936
5,30,-71744368524.94818,-7976994582.275998,3100458945.367738,-75079091.29127316,-3282229.140373971,-12617.805003734315,2588.4028780810004,133.0605427469212,4.5437036792737935
5,31,-1257981484394.479,637500022214.1167,-48867997216.96311,-182539670.70408675,13687011.092498202,410466.45195024513,7387.911555666729,92.39708196284238,0.45356741574352727
5,32,367993627455.4203,-76492590570.11711,4788476398.694245,-44963569.82873715,-3308110.482390902,-22089.567122249635,2329.97534695294,128.873583981845,4.541646463374889
5,33,1104344928787582.5,-40625698004776.305,-406972620718.7728,10638194970.773193,386810072.535618,3079413.1061251694,-138401.1314302758,-4446.243699858315,81.12687898513734
5,34,-380469699410.4563,57506853392.75232,-666264963.037407,-101527263.7338914,-2252608.080310405,11385.542872840346,2721.302337934991,129.01848739914527,4.467814028214496
5,35,363025668407.5724,-192120617779.08862,12149046176.19845,-60495053.01291383,-5852210.00089193,-76043.09697065208,1862.9318715068086,140.66906786850905,5.277257993204656
5,36,11850976494917.947,-1351147135326.6318,19488599997.343838,793369777.3513713,4758600.58855677,-318130.43324501417,-11024.415806654864,-44.91071913578972,12.838428845442818
5,37,-12193536510531.178,582688031229.6383,4767359742.939607,-211492781.85314548,-6637313.872630583,-61690.46011042741,2311.318692068183,146.72679942954005,5.26733480262443
5,38,203518708348.49637,-87440226176.71085,7692274090.015737,-46032367.12328382,-4436064.007182473,-63802.85188955753,1557.5372319986955,131.251245917239,5.352390342288205
5,39,2641895050326.4634,-271733335806.46478,5542564160.092298,146287098.81140444,-1449968.7179573562,-111883.55636096228,-1209.0392995720051,94.70641105629662,6.928948976019464
5,40,1572702037151.5208,-304255872590.65045,16268032233.423128,-112870748.31746691,-7535724.401500041,-56662.67220710838,3071.704158886374,154.02948447462774,4.6800190256584875
5,41,20520554902.884995,-12290540557.651262,1965239304.8287647,-63577126.00268768,-1838039.234347486,9959.583546552341,2344.313417589123,114.59178709435052,4.20075243230516
5,42,26990509140093.516,-1538915542947.2659,-13450375367.977518,916353283.4988126,31237655.482877836,73917.11432933254,-24429.682468239767,-651.6026373406064,25.70033477876637
5,43,40036323304.90984,-9445983630.78898,560364501.7974057,5038206.221848384,-737683.6653593594,-22480.53913482763,631.9491809828652,92.15222659651806,5.559880426441617
5,44,270389842496.03522,-54920066794.83636,2925764097.6835203,3396288.042578814,-2139048.363532014,-44146.074879004984,1017.9431071711108,112.66503505044464,5.439065753021907
5,45,2932623686457.9355,-355945512431.66034,4878331220.904616,236531644.63827968,1666018.064784686,-107120.53739411356,-3630.1371183292913,29.789725788199267,8.545182553065397
5,46,931790446637.0273,-184194963831.3173,11307852060.860266,-138431438.89143318,-5660640.824900663,-11550.636271355159,3413.13850376714,144.755475018126,4.224711223560607
5,47,829166524202.8982,-159692852240.0906,9057444898.742476,-68366418.02318409,-4751457.902578507,-46095.13922976615,2173.16682579138,135.36392263346704,4.944305509646565
