sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8
5,0,145404.30677046292,-90192.46628569312,8131.462665504341,2229.3469664274226,68.78580410128171,-20.2710239387881,1.5779846882568276,2.671517036072785,1.0017672197555794
5,1,177280.8902398548,-122334.71744675006,8276.174520514056,5481.565191331978,484.51489041352573,-128.41198427816016,-46.39040242801426,-2.496389648881265,3.5140828126908645
5,2,-333519.38387528446,213024.99964474823,-5645.440787785578,-10466.668874924653,-1411.736206771745,234.88595701450654,135.15357318661546,20.830182857853615,-5.50039007741771
5,3,1723535.346869732,-1002140.5346693533,-10062.311523194508,46619.15880381009,9043.845806696332,-444.60927171601287,-622.6840414269634,-118.2148982385065,34.594672683259084
5,4,-611688872.9055907,185035034.37543046,12415815.652208775,-3252932.4126491263,-798590.660363865,-34279.25589675748,19020.335805539467,3993.2336764096103,-561.2440165084181
5,5,27289490.929666914,-12620004.088403268,37888.31026445099,342416.1864706562,45054.44252404147,-2739.8898894405725,-1947.8980661151295,-253.88159378282418,60.108611854961666
5,6,14550574.899333576,-8738407.133777674,482164.7199905257,264455.19805280294,23634.279238573246,-3671.360352432154,-1509.0894680396261,-168.62032809394856,48.83622555368913
5,7,6346854.275071595,-3503506.4178290763,-121730.3142553931,159851.88736426295,37152.0047162955,-576.8414107075372,-2372.951475206177,-508.0287876071616,132.06483294414335
5,8,-113842.6764107943,51664.274542788626,-1113.8498670787894,-1540.1811206218097,-134.0924145281933,42.508574942631476,18.513778702662133,3.989176843935236,0.5239754462789299
5,9,7387048.038352165,-3671416.9157947483,-14176.40682440417,121891.28515993709,18846.816260846077,-1015.400997148883,-945.3990923601759,-140.7213885320937,35.824502125540654
5,10,-839841.6359720743,437048.78813448735,12960.139937973441,-18246.198899456776,-3798.841814371774,118.96816145452213,230.76766542463025,45.53242733102251,-9.565337529475856
5,11,160458.4374428876,-98447.06420111356,5758.195195646698,2791.770862962882,285.75799015559,0.6255575563250739,-0.7599675840545304,1.7191706159400155,0.9457109578386699
5,12,-5002102.183665969,3110542.3361807303,-201935.3195083409,-104369.51453339818,-7358.99178270338,2093.4108554815557,682.2552129385753,63.930273978949316,-22.958053162888113
5,13,3419985.0317695583,-2423643.4588634614,182498.321613908,105593.4001456524,8386.772068329006,-2550.084683702888,-938.8777535179307,-96.35955794566749,43.02239221942074
5,14,93198.90468586546,-68301.77015766372,7627.6882924928395,2436.922790331243,39.81226775944361,-51.74061722082373,-5.31887182579569,2.427515877324641,1.3573921893770466
5,15,5124664.542537179,-2368366.6510179588,32985.60451726134,63675.03676632594,6458.387764216054,-697.9937840104867,-287.01906623157964,-25.750016119054248,8.663599862407274
5,16,371817.2626476738,-274550.26947005506,32340.286239887944,9630.180806779692,27.86601807853372,-269.98832644076435,-47.08777831343122,1.078278288541183,2.993234035539795
5,17,-29423331.333034266,9064778.740851589,595014.401734968,-162686.99458718929,-39358.22419548826,-1666.8153014501977,956.2108653635022,206.28386347768975,-27.83009164787304
5,18,269979.910231384,-143079.4974389418,3899.4838990795583,4879.1822838518765,504.5202856122836,-70.57844325538534,-27.175785974387527,-0.6272316223808823,2.262358283876939
5,19,742639045.1649365,-261841051.28852746,-10053351.57766398,5451069.777607881,1013494.9102029796,9835.249694243072,-29280.712722825574,-5095.136539184766,843.344689982828
5,20,-1368264.8826128158,827564.5806983493,-67330.25111776775,-24464.690951850036,-588.0839653970653,543.6816499008327,114.8119371864355,7.906231231219323,-2.2567882457523063
5,21,22314622.341209475,-8694140.542737031,-340827.46583082696,209695.00037486613,41710.61066565104,524.3630025452891,-1362.94250198843,-256.7246538970539,45.90472659328269
5,22,-3880484171.17994,1164024840.6116648,93627238.28369582,-20140935.299265224,-5953405.832174019,-390497.8604402081,141896.47573963582,38062.57713014512,-5148.150546477128
5,23,296206.5782925206,-182563.1029919249,9794.180800799259,6319.540646807797,576.6651840143589,-92.57990932196522,-33.26974570520638,-1.3002908147511911,2.2676057858974565
5,24,-23057596.865076438,11217984.294358423,-137922.58859177656,-328530.51568977284,-36873.195286965914,3865.011996548387,1796.1712884589567,190.09260247356804,-50.07125350455413
5,25,-83324047.25094049,36493451.91638381,-145736.88020126623,-829231.4320111008,-105647.71248602158,4380.534461460438,3761.9359063530183,512.2554595399699,-98.0718073340451
5,26,-4192925.051144403,1321343.1495089964,72428.0851088873,-24703.355253854006,-5330.516675829913,-132.30337144989744,151.70571388429798,31.04637537172831,-3.504668079240818
5,27,288179.2873879484,-166951.70510573624,7623.833475097685,4898.130696765708,476.8850311719167,-39.07671455580104,-15.52592523900084,0.3324515188497895,1.5212797896503554
5,28,-12988588.087912818,6190868.2221158305,-73500.6840551192,-153860.39995435264,-18502.567963801986,1172.569670743592,753.0966156631293,95.53411560006323,-19.22861057349131
5,29,414621.8715048344,-245416.99893263628,17395.42684805737,6854.005740323168,398.8983206512533,-101.95612382747034,-24.157059838181837,0.47402755417176096,1.791163442031641
5,30,-88944.53499199958,54710.00860625214,-3225.641136656365,-1853.6402497326983,-115.50021228440207,45.704226232920185,17.52554788754737,3.935420234692747,0.7096371381417151
5,31,663535.0041583774,-393551.7475159947,25292.280026286335,12527.706554497527,788.7889574744415,-230.84598507145012,-64.41945611067892,-2.8787284483552056,3.344803710844572
5,32,-21086145.992595136,9120957.635318797,252650.25731257902,-246324.40805196023,-46117.78468324624,89.2692148565756,1754.7883060609622,324.08732658298237,-60.112793760799136
5,33,-3004937.833669981,1501237.5152286985,11159.928830366975,-49532.99400355686,-8187.298899722867,356.97165159948116,420.0705235187155,70.41345874866337,-14.939382882534117
5,34,43733.471609089655,-37434.21641949221,6862.394116046912,887.8287246065748,-89.52218194278106,-18.08917647221638,5.277076725280836,3.2526820134413414,0.9934596582623646
5,35,97706.76041887481,-152540.97226680926,43820.47228006404,5529.396796336524,-837.2206289664778,-352.13443807220517,-48.368847514220946,3.228048048907412,4.0216501470634824
5,36,15639364.116241286,-6210644.302468505,-162146.21454919293,148807.71021116248,25727.729290744115,-127.66636242517332,-864.9774634312271,-144.4881274736843,27.827749055772628
5,37,-739961.4164035763,395502.70603666594,-13218.5482974996,-12204.604647831009,-1158.4196287824943,192.3421976429905,77.68731342706741,9.879427394367825,-1.1770652397689572
5,38,3409409.96273474,-1617575.4730517606,752.1526947201043,48252.867532472046,6814.218394445467,-400.99821142186227,-314.3570736376468,-41.766668484658695,11.631592482685699
5,39,-1192831.4376841255,735543.3235120529,-1672.7222959675328,-36541.71339403023,-6655.369287173287,511.78400044323473,533.7834420688604,100.86556916505181,-28.609366500427946
5,40,8593707.689942168,-4154156.1506340997,-99920.97638736402,139430.33726878517,26030.480490124697,-555.1701848424225,-1210.2951039242541,-211.15260724300109,48.345893518419985
5,41,18935043.760503393,-7583458.446598054,-162266.68602980248,192242.3491794717,28998.574204420147,-1069.610153416707,-1033.6094800198516,-131.08156084883527,29.240241029959748
