sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8
5,0,38081352764.49067,-14399105593.933067,1739954595.4521887,-56190146.64736631,-1439895.8113503894,1563.2891907915591,1180.3463644606202,55.02113981036316,1.883116805587213
5,1,62404077993.003044,-31714924912.356846,3563214112.2274475,-44323713.30933834,-2193023.143680849,-21111.574734210826,915.5681289749649,57.896430426322446,2.119515669252692
5,2,28782653958.232067,-14254240502.125563,2034306632.5393279,-57858299.83041718,-1475390.7921162015,4143.218717596502,1272.614528472896,55.189356190315706,1.7730682515461962
5,3,1010176615162.5098,-193345425220.51672,5458950622.467212,86971341.12248427,-1296204.8479375616,-68023.92628640457,-692.0362828363983,43.212237488619884,2.980935098772684
5,4,62998130950.82763,-31070286933.943554,3337255049.104555,-91764599.314253,-1579449.9016137845,22321.293573567462,1720.3687713153404,56.54857134258005,1.477784118489807
5,5,-164201028168480.03,11076981409337.717,25175722240.434235,-7592787681.515337,-180509667.87231815,1234355.3327747043,187014.20009358655,4195.564629466201,-145.037729439168
5,6,1026343012604.4596,-138555807851.64786,5055799499.472409,19424468.733957626,-2257646.7869246197,-45864.8921689355,439.3796761698771,57.369491823360946,2.362607655778475
5,7,487305193556.0614,-80200186418.51413,3559106495.2741637,2563778.3567972975,-1885845.5507228135,-33542.93286965179,560.914887859416,55.48094358034943,2.2631251951682874
5,8,-8177362765734.556,601867192740.8055,-2932726458.6687803,-337756293.5606581,-4529133.991537171,78884.88777527127,4910.293899003383,103.44202884715995,-0.17914564043297626
5,9,161084524613.69714,-36301948217.65558,2225424065.577717,-9630027.30469926,-1495396.0563842426,-22661.078281894675,639.98325730641,53.22400566286736,2.189708777210071
5,10,-16278388593.045528,3270435921.0528426,173438684.7788352,-11838343.886194283,-533941.9446192752,-3059.343387085569,652.8882501981847,44.44934730856234,1.986959622050457
5,11,8147868844653.003,-678012031284.583,7141191058.330476,298641237.6059091,1534815.0162987881,-98454.00487201757,-2684.728956024894,12.951191362802687,3.800341317550457
5,12,248712074651.07965,-65168262056.05375,4139632201.9225855,-20326812.974314913,-2218155.654261191,-31888.849928498334,673.2980313881144,57.26591111381605,2.2832918552143955
5,13,293470989820.97925,-114590914837.32234,6321402076.875049,-9062693.436740754,-2887940.8528439426,-45048.33106668491,679.0542910329613,61.322308427461145,2.295885510546623
5,14,52774841669791.97,-2758866694281.4106,-15016987810.541292,1260401337.6922157,33206289.02162994,6235.015144812278,-20955.257634086716,-465.57224902944796,15.009466036829663
5,15,43867462107747.8,-2163723229950.0134,-11221529799.873547,896323363.9428489,21289612.21824274,-26469.069327961686,-11922.90835475922,-208.82968637252847,8.517291367199586
5,16,108839714542.6152,-36814395318.84599,4149881093.5995474,-152287534.91971666,-1115022.859081049,52982.6570434845,2189.5082923533073,56.61885926847153,1.2571508123617006
5,17,263489677963.7222,-40365714558.63807,1575232562.4410105,13470532.805087132,-958424.9842529765,-28083.86981369394,187.53061444133326,46.28108812340908,2.4511390528744004
5,18,819318623323.3997,-159538609325.7204,8092648848.946973,-24880104.01893804,-3378305.754375426,-48508.43623252932,689.7488992247122,62.29756956070404,2.359087272947717
5,19,1465276542367.5295,-209787838803.63626,8165628033.186867,21878796.49531521,-3386114.572731877,-74037.90680263225,76.76503931695743,60.05749216481592,2.761021723769562
5,20,9534689016810.545,-3529960094178.8896,127388550687.64178,2617618532.452557,-9493420.706554702,-1815599.297743318,-53209.549049503185,-430.60950697931713,42.663072352393854
5,21,26710861339548.63,-2647458960265.696,21664416398.582104,1915679429.2090538,26491242.948431794,-641640.5795160691,-38911.11251724403,-602.3630811995079,30.46860327861424
5,22,384087606166.1538,-146674992285.5229,7927052174.278937,-12361372.75683634,-3204541.8631264847,-52720.95055970524,519.9377902933295,60.46771510011409,2.4161145121649517
5,23,3293602751945235.0,-167645757010888.03,-359609384803.8207,57370116828.53869,1154383639.184904,-714659.406368386,-566507.5967687474,-11705.414944730834,254.7791267344119
5,24,505251544089.641,-85243597551.44704,3633681658.7574525,7090589.212701566,-1764770.456074843,-35067.71790635001,431.5853359074721,53.58346492172269,2.35342835003609
5,25,33331062505.578396,-13538133930.35886,1425243412.8483524,-23984284.20317809,-1181439.6071380319,-7584.7374276779465,857.7633305986081,50.78652025647356,1.9570708770092562
5,26,2763660908915.4873,-579541908814.1775,13025875037.059875,267315463.20567012,-912751.1356532477,-131641.4582725001,-2494.3207812494593,27.23000033336994,3.8292931752214003
5,27,-1213874135743889.0,179682330357694.2,-3505414431667.3774,-112616391878.41023,-41723048.1954247,57041068.3344597,1508358.7672101576,8694.779352583699,-940.5342258348002
5,28,31220372712.38515,-13835405567.338615,1305760911.168831,-20931897.43128324,-1096943.3744670067,-7208.473413551969,836.3044291877469,50.07960691106288,1.946107338651773
